Date,Open,High,Low,Close,Adj Close,Volume
11-02-2019,86.800003,86.800003,82.599998,83.099998,76.552887,18189713
12-02-2019,83,83.550003,81,81.199997,74.802582,15898399
14-02-2019,78.5,87.099998,77.75,84.449997,77.796516,45263573
15-02-2019,81.800003,82.349998,78,79.949997,73.651062,53819329
18-02-2019,79.800003,79.949997,77.599998,79.199997,72.960152,18434019
19-02-2019,80,81.199997,78.5,79.199997,72.960152,33017444
20-02-2019,79.800003,81.5,79.800003,80.949997,74.572273,25543536
21-02-2019,81.5,81.650002,80.199997,81.150002,74.756516,18529079
22-02-2019,81,82.849998,80.75,81.849998,75.401367,28694764
25-02-2019,82.449997,83.5,81.75,83.25,76.691063,17273781
26-02-2019,82.349998,83.75,80.5,83.300003,76.737137,24243625
27-02-2019,83.650002,85.699997,82.349998,84.849998,78.165009,37470474
28-02-2019,85.900002,87,85.199997,86.5,79.685013,40784271
01-03-2019,87.400002,87.900002,84.400002,86.599998,79.77713,34521039
05-03-2019,86.699997,91,85.800003,90.5,83.369873,35128559
06-03-2019,91.949997,92.849998,89.900002,90.599998,83.46199,37509378
07-03-2019,90.949997,92.099998,89.400002,90.900002,83.73835,23050857
08-03-2019,90.900002,90.949997,89.300003,89.650002,82.586845,19294489
11-03-2019,90.800003,93.599998,90.099998,93.050003,85.718971,22713360
12-03-2019,94.050003,95.5,92.599998,92.949997,85.626839,36928756
13-03-2019,92.949997,94.400002,92,93.800003,86.409874,19828846
14-03-2019,94.099998,94.5,92.849998,93.949997,86.548058,18356759
15-03-2019,93.949997,95,93.650002,94.099998,86.686241,24437891
18-03-2019,94.300003,94.449997,91.150002,92.400002,85.120178,22606290
19-03-2019,92.400002,92.650002,90.900002,91.400002,84.198967,15395289
20-03-2019,91.5,91.800003,90.050003,90.849998,83.692291,11856254
22-03-2019,91,92,89.25,89.599998,82.540771,17105182
25-03-2019,89,89.25,87.300003,87.5,80.606224,11836240
26-03-2019,87.599998,88.099998,85.349998,86.300003,79.500778,20235983
27-03-2019,86.699997,87.75,85.099998,85.449997,78.717735,25086886
28-03-2019,85.599998,89.699997,85.300003,88.599998,81.61956,26677216
01-04-2019,92.199997,92.900002,90.099998,90.349998,83.231682,26616287
02-04-2019,90.800003,91.25,88.599998,89.550003,82.494713,19323952
03-04-2019,89.800003,90.800003,87.5,87.800003,80.882591,19962585
04-04-2019,87.5,88.800003,87,87.449997,80.560158,19328175
05-04-2019,87.900002,88.5,86.900002,87.75,80.836533,14721025
08-04-2019,88.25,88.949997,86.800003,87.25,80.375923,14834678
09-04-2019,87.300003,92.800003,86.199997,91.699997,84.475319,41766873
10-04-2019,91.900002,92.300003,90.400002,91.550003,84.337143,28021324
11-04-2019,91.599998,95,91.300003,94.5,87.054726,40272653
12-04-2019,94.400002,96.300003,93.400002,95.650002,88.114128,26390565
15-04-2019,97,97.300003,95.099998,95.75,88.206245,29805368
16-04-2019,96.099998,97.75,95.599998,96.349998,88.758965,25209332
18-04-2019,97,97.199997,94.050003,95.75,88.206245,19780948
22-04-2019,95.800003,95.849998,91.800003,92.150002,84.88987,19341457
23-04-2019,92.5,93.25,91.199997,91.550003,84.337143,19425738
24-04-2019,91.599998,92.5,90.550003,91.25,84.060776,17671024
25-04-2019,91.449997,92.5,89.550003,89.849998,82.77108,23972672
26-04-2019,89.75,90.150002,88.099998,88.5,81.527443,16125203
30-04-2019,87.900002,88.349998,85.300003,86.949997,80.099556,19935462
02-05-2019,87.099998,91.800003,85.800003,89.550003,82.494713,58223470
03-05-2019,90,91,88.599998,89.599998,82.540771,23708069
06-05-2019,88.949997,89.400002,87.75,88.050003,81.1129,12211735
07-05-2019,88.699997,88.800003,85.599998,85.949997,79.178345,14500613
08-05-2019,85.349998,86.400002,84.949997,85.949997,79.178345,13038488
09-05-2019,85.599998,85.949997,83,84.849998,78.165009,22648198
10-05-2019,84.849998,86.25,84.849998,85.900002,79.132286,13767863
13-05-2019,85.800003,86.5,82.599998,83,76.460762,13918199
14-05-2019,83,85.599998,82.050003,84.599998,77.934708,18328116
15-05-2019,85,85.800003,81.449997,81.949997,75.493484,17950986
16-05-2019,81.949997,83.949997,81.400002,82.900002,76.368645,14994353
