Date,Open,High,Low,Close,Adj Close,Volume
10-10-2019,96.900002,97.849998,94.599998,95.650002,95.650002,17559085
11-10-2019,96.650002,100.25,95.25,97.449997,97.449997,26700762
14-10-2019,99.550003,102.699997,98.75,99.5,99.5,21326087
15-10-2019,99.550003,104.949997,96.25,103.099998,103.099998,33002841
16-10-2019,103.5,104.199997,101.25,102.400002,102.400002,15985718
17-10-2019,101.25,105.900002,99.800003,104.550003,104.550003,18532554
18-10-2019,104.400002,108.400002,103.699997,107.650002,107.650002,18095628
22-10-2019,106,108.099998,102.550003,103.400002,103.400002,20481332
23-10-2019,103.199997,103.400002,100.349998,101.199997,101.199997,19338850
24-10-2019,101.5,103.900002,99.050003,102.800003,102.800003,24157758
25-10-2019,102.650002,105.800003,101.75,104.849998,104.849998,17513992
29-10-2019,107.400002,116.25,106.650002,112.650002,112.650002,25236074
30-10-2019,112.900002,116.5,111.150002,115.199997,115.199997,17240594
31-10-2019,117,119.300003,113.849998,116.25,116.25,24486750
01-11-2019,116,123.949997,116,123.349998,123.349998,30028955
04-11-2019,125.25,141.300003,125.25,137.199997,137.199997,67908658
05-11-2019,138.949997,141,132.800003,134.050003,134.050003,43315239
06-11-2019,130,142.25,128.75,134.699997,134.699997,54187219
07-11-2019,136.600006,152.899994,135.350006,148.600006,148.600006,63062505
08-11-2019,146.199997,150.399994,143.949997,144.550003,144.550003,29259836
11-11-2019,145.300003,151.850006,144.199997,150.75,150.75,28595171
13-11-2019,151.699997,153.050003,140.800003,142.149994,142.149994,31554355
14-11-2019,142.050003,144.399994,138.600006,139.649994,139.649994,18804406
15-11-2019,141.199997,145.899994,139.800003,143.550003,143.550003,16318423
18-11-2019,144.399994,147,142.25,145.449997,145.449997,16277768
19-11-2019,145.399994,146,138.300003,139.100006,139.100006,16029300
20-11-2019,140,143.600006,137.850006,140.149994,140.149994,16071410
21-11-2019,139.300003,140.5,135.199997,136.100006,136.100006,11728699
22-11-2019,136.949997,145.699997,136.300003,144.199997,144.199997,24439375
25-11-2019,145.149994,155.800003,144.850006,154.800003,154.800003,34249966
26-11-2019,154.800003,157.649994,152,156.449997,156.449997,25014300
27-11-2019,156,160,154.800003,159.300003,159.300003,17185218
28-11-2019,159.300003,166.399994,158.199997,165.050003,165.050003,19601225
29-11-2019,164.350006,164.75,158.100006,161,161,17469017
02-12-2019,161.600006,162,158.25,159.449997,159.449997,10165969
03-12-2019,158.850006,158.850006,141.649994,149.75,149.75,43638748
04-12-2019,145.350006,156.5,143,153.75,153.75,27151029
05-12-2019,154,154.449997,135.649994,141.100006,141.100006,23327336
06-12-2019,139,145.800003,134.25,139.850006,139.850006,42183273
09-12-2019,140.600006,145,138.800003,143.149994,143.149994,18777598
10-12-2019,143.399994,145.300003,139.5,141.25,141.25,17656288
11-12-2019,142.949997,145.399994,141.5,144.449997,144.449997,14479614
12-12-2019,145.199997,146.399994,137.75,142.25,142.25,16119727
13-12-2019,143.25,149.25,137.199997,138.850006,138.850006,43391119
16-12-2019,136.800003,139.899994,132,136.75,136.75,36141327
17-12-2019,138.5,147.75,137,145.600006,145.600006,45830185
18-12-2019,146.600006,148.699997,143.350006,146.050003,146.050003,29351742
19-12-2019,147.850006,153.899994,146.350006,152.850006,152.850006,29577787
20-12-2019,153,158.399994,151.699997,157.050003,157.050003,25272098
23-12-2019,157,159.300003,156.25,157.800003,157.800003,19904345
24-12-2019,158.149994,162,157.350006,160.050003,160.050003,20240998
26-12-2019,159.949997,164.800003,159.899994,163.550003,163.550003,21763900
27-12-2019,164.5,165,158.550003,161.25,161.25,19434487
30-12-2019,161.399994,167.949997,160.5,167.350006,167.350006,19284158
31-12-2019,166.5,168.699997,166,167.699997,167.699997,16304965
01-01-2020,167.800003,171.300003,164.399994,166.399994,166.399994,24648797
02-01-2020,169.899994,174.25,169,173.25,173.25,23256674
03-01-2020,173.350006,174.600006,170,171.600006,171.600006,19536532
06-01-2020,169.25,170.850006,165.5,166.899994,166.899994,15670706
07-01-2020,169,171.899994,165.75,167.350006,167.350006,19605976
08-01-2020,166.449997,176.399994,164.050003,174.699997,174.699997,33040895
09-01-2020,177.25,179.5,174.350006,176.399994,176.399994,18381117
10-01-2020,177,179.399994,174.699997,176.649994,176.649994,18329483
13-01-2020,177.800003,179.75,174.100006,178.050003,178.050003,15771923
14-01-2020,178.5,180.649994,171.649994,174,174,22197682
15-01-2020,172.899994,180.75,171.149994,180.149994,180.149994,28161176
16-01-2020,180.449997,181.800003,176.100006,179,179,20938516
